Date,Origin,Destination,Average_Price
2022-09-01,Srinagar,Mumbai,14350
2022-10-01,Srinagar,Mumbai,15450
2022-11-01,Srinagar,Mumbai,17000
2022-12-01,Srinagar,Mumbai,20000
2023-01-01,Srinagar,Mumbai,14650
2023-02-01,Srinagar,Mumbai,13850
2023-03-01,Srinagar,Mumbai,15550
2023-04-01,Srinagar,Mumbai,16050
2023-05-01,Srinagar,Mumbai,17000
2023-06-01,Srinagar,Mumbai,17600
2023-07-01,Srinagar,Mumbai,17400
2023-08-01,Srinagar,Mumbai,16350
2023-09-01,Srinagar,Mumbai,14450
2023-10-01,Srinagar,Mumbai,15900
2023-11-01,Srinagar,Mumbai,17150
2023-12-01,Srinagar,Mumbai,20600
2024-01-01,Srinagar,Mumbai,14400
2024-02-01,Srinagar,Mumbai,13550
2024-03-01,Srinagar,Mumbai,15750
2024-04-01,Srinagar,Mumbai,16500
2024-05-01,Srinagar,Mumbai,17250
2024-06-01,Srinagar,Mumbai,18100
2024-07-01,Srinagar,Mumbai,17600
2024-08-01,Srinagar,Mumbai,16400
2024-09-01,Srinagar,Mumbai,14700
2024-10-01,Srinagar,Mumbai,15800
2024-11-01,Srinagar,Mumbai,17850
2024-12-01,Srinagar,Mumbai,20350
2025-01-01,Srinagar,Mumbai,14700
2025-02-01,Srinagar,Mumbai,14000
2025-03-01,Srinagar,Mumbai,15850
2025-04-01,Srinagar,Mumbai,16400
2025-05-01,Srinagar,Mumbai,17150
2025-06-01,Srinagar,Mumbai,18250
2025-07-01,Srinagar,Mumbai,17950
2025-08-01,Srinagar,Mumbai,16750
2025-09-01,Srinagar,Mumbai,14800
2025-10-01,Srinagar,Mumbai,16300
2025-11-01,Srinagar,Mumbai,17500
2025-12-01,Srinagar,Mumbai,20350
2026-01-01,Srinagar,Mumbai,14950
2026-02-01,Srinagar,Mumbai,14250
2026-03-01,Srinagar,Mumbai,16050
2026-04-01,Srinagar,Mumbai,17150
2026-05-01,Srinagar,Mumbai,17850
2026-06-01,Srinagar,Mumbai,18450
2026-07-01,Srinagar,Mumbai,18150
2026-08-01,Srinagar,Mumbai,16900
2026-09-01,Srinagar,Mumbai,15100
2026-10-01,Srinagar,Mumbai,16400
2026-11-01,Srinagar,Mumbai,18200
2026-12-01,Srinagar,Mumbai,20800
2022-01-01,Goa,Mumbai,5350
2022-02-01,Goa,Mumbai,5300
2022-03-01,Goa,Mumbai,5500
2022-04-01,Goa,Mumbai,5900
2022-05-01,Goa,Mumbai,6250
2022-06-01,Goa,Mumbai,6300
2022-07-01,Goa,Mumbai,6300
2022-08-01,Goa,Mumbai,5900
2022-09-01,Goa,Mumbai,5250
2022-10-01,Goa,Mumbai,5500
2022-11-01,Goa,Mumbai,6250
2022-12-01,Goa,Mumbai,7350
2023-01-01,Goa,Mumbai,5800
2023-02-01,Goa,Mumbai,5400
2023-03-01,Goa,Mumbai,6300
2023-04-01,Goa,Mumbai,5850
2023-05-01,Goa,Mumbai,6550
2023-06-01,Goa,Mumbai,6700
2023-07-01,Goa,Mumbai,7100
2023-08-01,Goa,Mumbai,5950
2023-09-01,Goa,Mumbai,5250
2023-10-01,Goa,Mumbai,5800
2023-11-01,Goa,Mumbai,6000
2023-12-01,Goa,Mumbai,7450
2024-01-01,Goa,Mumbai,5500
2024-02-01,Goa,Mumbai,5400
2024-03-01,Goa,Mumbai,6050
2024-04-01,Goa,Mumbai,6750
2024-05-01,Goa,Mumbai,6850
2024-06-01,Goa,Mumbai,6800
2024-07-01,Goa,Mumbai,6600
2024-08-01,Goa,Mumbai,6550
2024-09-01,Goa,Mumbai,5350
2024-10-01,Goa,Mumbai,6650
2024-11-01,Goa,Mumbai,7100
2024-12-01,Goa,Mumbai,7750
2025-01-01,Goa,Mumbai,5450
2025-02-01,Goa,Mumbai,5900
2025-03-01,Goa,Mumbai,6200
2025-04-01,Goa,Mumbai,6850
2025-05-01,Goa,Mumbai,6500
2025-06-01,Goa,Mumbai,7050
2025-07-01,Goa,Mumbai,7100
2025-08-01,Goa,Mumbai,6700
2025-09-01,Goa,Mumbai,5800
2025-10-01,Goa,Mumbai,6550
2025-11-01,Goa,Mumbai,6800
2025-12-01,Goa,Mumbai,8150
2026-01-01,Goa,Mumbai,6150
2026-02-01,Goa,Mumbai,5900
2026-03-01,Goa,Mumbai,6650
2026-04-01,Goa,Mumbai,6500
2026-05-01,Goa,Mumbai,6750
2026-06-01,Goa,Mumbai,7800
2026-07-01,Goa,Mumbai,7450
2026-08-01,Goa,Mumbai,6750
2026-09-01,Goa,Mumbai,6500
2026-10-01,Goa,Mumbai,6700
2026-11-01,Goa,Mumbai,7650
2026-12-01,Goa,Mumbai,8500
